Puzzle,Solution,
..6...57..1.58......23.6.9..2...3.......59.28.4...8.....89.1.5..6.73......5...23.,486192573913587462752346891827613945631459728549278316378921654264735189195864237,
.83...2.....7.3..86..9....5.6.4.832.....6.....942.5.1.3....7..29..6.1.....8...65.,483516297159723468672984135561478329237169584894235716316857942925641873748392651,
6.1...9.85..9.1..3.4..3..5............63.87.....1.2....5.6.7.4.76.....81.9..5..3.,631425978527981463849736152273569814916348725485172396358617249764293581192854637,
...59.....5..68.3...13..7...8....9.534.....172.5....4...6..51...7.93..8.....71...,438597261752168439961324758687413925349652817215789346896245173174936582523871694,
.4..7..5..6.1.2.4.............7.6....89...76.1.64.53.8...6.1...638...5145.......6,341879652965132847827564139253786491489213765176495328794651283638927514512348976,
.4.....8.2...1...9.3.8..1.73..1..8......7......6..2..57.8..4.5.1...5...3.9.....6.,941237586287516349635849127372165894859473612416982735768394251124658973593721468,
.....79......1....2.6.38.7..4..2..13...8.5...56..4..2..8.57.1.2....8......31.....,438257961795614238216938475849726513321895647567341829684573192172489356953162784,
..34...1.8.13..9...4.1...82......157....8....274......68...1.3...2..56.1.9...64..,923468715851372964746159382368924157519687243274513896687241539432895671195736428,
.4.2.7.8..2.....5...71.96...6.....2...8.9.3..4.3...8.1....8.....759.326...2...9..,546237189921864753837159642769318425218495376453726891394682517175943268682571934,
....2.....95....124..6.1.....6.5.9..9....824...3.1.5..5..7.2....27....56....3....,138425679695873412472691385786254931951368247243917568564782193327149856819536724,
74...92....3...4....1.5...6...1...45...895...38...4...4...2.7....8...5....26...19,746389251953216487821457936697132845214895673385764192439521768168973524572648319,
............583....2.9.6.5....8.4...87.....316.......79.1...7.3....5....2..6.7..8,518742396469583172327916854193874625875269431642135987951428763786351249234697518,
.5.1..46.2.46....39...4..2.....5..72..27.96..54..2.....3..6...86....39.7.19..7.3.,853172469274695183961348725396451872182739654547826391735964218628513947419287536,
.825.......761...8.......56...8.1.62.1.....3.37.2.9...92.......8...564.......819.,682594371597613248143782956459831762216475839378269514925147683831956427764328195,
...4.81.......72..28951.4..52..3.7.4..32.48..9.1.7..52..2.49583..73.......41.5...,736428195415697238289513476528931764673254819941876352162749583857362941394185627,
38.6.27......8..23......48....1....864.837.958....5....67......49..1......84.6.12,389642751754981623216753489925164378641837295873295146167529834492318567538476912,
63.....14..........8.....7...3...1.....6.2....95...76.8..7.3..1.7.124.5...9.8.2..,637258914924317586581469372463975128718632495295841763852793641376124859149586237,
.5.7...........7.4.4.5.2..196...15......3......52...973..6.9.7.8.4...........4.8.,158743269239816754647592831963471528782935146415268397321689475894357612576124983,
1......474..2..6...3978.1.....4.275...1...4...425.6.....7.3951...4..5..656......8,125963847478251639639784125896412753751398462342576981287639514914825376563147298,
..46.53...9..1....3.....82.5......7....128....6......3.76.....1....6..8...35.17..,724685319698213457351974826519436278437128695862759143976842531145367982283591764,
......2..18...2..7..7.4..8.87.3.....3..9..76.29.5.......2.1..3.54...9..8......1..,459783216183692457627145389875364921314928765296571843962817534541239678738456192,
.5.24.....97..3.52...5.9.3..31...2.99.......55.4...86..6.3.4...34.6..58.....15.4.,653241798497863152218579634831456279926738415574192863165384927349627581782915346,
............547...4.9...7.593.....21..27.36.............49.15...2.658.9...6.3.8..,875319246263547189419286735937865421142793658658124973384971562721658394596432817,
9....1..423....7.....4..29...2.1...935.........8.7...5...2..91.19....5..6....4..7,976321854234859761581467293762518439359642178418973625847235916193786542625194387,
.3.....5...6...8.....973.....4.2.1...8.4.5.6.5...6...9.5.....9....3.6...97.....41,731682954296514873845973216364729185189435762527861439652147398418396527973258641,
5.......2....5.....39.1.84.9..8.3..4...9.7.....3.6.7...2.....9.3.7...5.84.5.3.2.6,516784932284359167739216845971823654652947381843561729128675493367492518495138276,
..2.9.4..9.......787.....957.......3.817.395....1.5...49..6..726...1...9.........,532697481916854327874231695745986213281743956369125748493568172657412839128379564,
